title,console,genre,publisher,developer
Grand Theft Auto V,PS3,Action,Rockstar Games,Rockstar North
Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,Rockstar North
Call of Duty: Black Ops 3,PS4,Shooter,Activision,Treyarch
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,Infinity Ward
Call of Duty: Black Ops,X360,Shooter,Activision,Treyarch
Red Dead Redemption 2,PS4,Action-Adventure,Rockstar Games,Rockstar Games
Call of Duty: Black Ops II,X360,Shooter,Activision,Treyarch
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,Infinity Ward
Call of Duty: WWII,PS4,Shooter,Activision,Sledgehammer Games
Grand Theft Auto III,PS2,Action,Rockstar Games,DMA Design
FIFA 18,PS4,Sports,EA Sports,EA Vancouver
Grand Theft Auto IV,X360,Action,Rockstar Games,Rockstar North
FIFA 17,PS4,Sports,Electronic Arts,EA Canada
Call of Duty: Ghosts,X360,Shooter,Activision,Infinity Ward
Halo: Reach,X360,Shooter,Microsoft Game Studios,Bungie
Call of Duty 4: Modern Warfare,X360,Shooter,Activision,Infinity Ward
Call of Duty: Black Ops IIII,PS4,Shooter,Activision,Treyarch
FIFA 19,PS4,Sports,Electronic Arts,EA Sports
The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios
Call of Duty: Infinite Warfare,PS4,Shooter,Activision,Infinity Ward
Fallout 4,PS4,Role-Playing,Bethesda Softworks,Bethesda Game Studios
FIFA 16,PS4,Sports,EA Sports,EA Canada
Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts,EA DICE
FIFA 13,PS3,Sports,EA Sports,EA Canada
The Sims 3,PC,Simulation,Electronic Arts,EA Redwood Shores
Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,Rockstar Leeds
Call of Duty: Advanced Warfare,PS4,Shooter,Activision,Sledgehammer Games
Call of Duty: World at War,X360,Shooter,Activision,Treyarch
Battlefield 3,X360,Shooter,Electronic Arts,Dice
Battlefield 1,PS4,Shooter,Electronic Arts,EA DICE
Need for Speed Underground,PS2,Racing,Electronic Arts,EA Black Box
Need for Speed Underground 2,PS2,Racing,Electronic Arts,EA Black Box
Just Dance 4,Wii,Music,Ubisoft,Ubisoft
Medal of Honor: Frontline,PS2,Shooter,Electronic Arts,EA Los Angeles
FIFA Soccer 12,PS3,Sports,EA Sports,EA Canada
FIFA 14,PS3,Sports,EA Sports,EA Canada
Red Dead Redemption,PS3,Action,Rockstar Games,Rockstar San Diego
Assassin's Creed III,PS3,Action-Adventure,Ubisoft,Ubisoft Montreal
Minecraft,PS4,Misc,Sony Computer Entertainment,Mojang
FIFA 15,PS4,Sports,EA Sports,EA Canada
Driver,PS,Action,GT Interactive,Reflections Interactive
Destiny,PS4,Shooter,Activision,Bungie
Tekken 2,PS,Fighting,Namco,Namco
LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,Traveller's Tales
Cooking Mama,DS,Simulation,Majesco,Office Create
Assassin's Creed II,PS3,Action,Ubisoft,Ubisoft Montreal
Assassin's Creed,X360,Action,Ubisoft,Ubisoft Montreal
Batman: Arkham City,PS3,Action,Warner Bros. Interactive,Rocksteady Studios
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,Traveller's Tales
Final Fantasy XIII,PS3,Role-Playing,Square Enix,Square Enix
Tomb Raider II,PS,Adventure,Eidos Interactive,Core Design Ltd.
Madden NFL 2004,PS2,Sports,EA Sports,EA Tiburon
Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,EA Los Angeles
Microsoft Flight Simulator,PC,Simulation,Microsoft,Microsoft
Guitar Hero II,PS2,Misc,RedOctane,Harmonix Music Systems
Mario & Sonic at the Olympic Games,DS,Sports,Sega,Sega
Fable III,X360,Role-Playing,Microsoft Game Studios,Lionhead Studios
Resident Evil 5,PS3,Action,Capcom,Capcom
FIFA Soccer 11,PS3,Sports,EA Sports,EA Canada
Grand Theft Auto: Vice City Stories,PSP,Action,Rockstar Games,Rockstar Leeds
Final Fantasy XV,PS4,Role-Playing,Square Enix,Square Enix
Tony Hawk's Pro Skater,PS,Sports,Activision,Neversoft Entertainment
Guitar Hero III: Legends of Rock,PS2,Misc,RedOctane,BudCat Creations
Fallout 3,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios
Madden NFL 06,PS2,Sports,EA Sports,EA Tiburon
Crash Bandicoot N. Sane Trilogy,PS4,Platform,Activision,Vicarious Visions
Crash Team Racing,PS,Racing,Sony Computer Entertainment,Naughty Dog
The Simpsons: Hit & Run,PS2,Racing,VU Games,Radical Entertainment
Tony Hawk's Pro Skater 2,PS,Sports,Activision,Neversoft Entertainment
The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,Stormfront Studios
Tomb Raider,PS,Action,Eidos Interactive,Core Design Ltd.
Mario & Sonic at the Olympic Winter Games,Wii,Sports,Sega,Sega
Overwatch,PS4,Shooter,Blizzard Entertainment,Blizzard Entertainment
Star Wars Battlefront II (2017),PS4,Shooter,Electronic Arts,EA DICE
Madden NFL 2005,PS2,Sports,EA Sports,EA Tiburon
Spider-Man: The Movie,PS2,Action,Activision,Treyarch
The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive,Bethesda Softworks
Tony Hawk's Pro Skater 3,PS2,Sports,Activision,Neversoft Entertainment
Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,Konami,Konami Computer Entertainment Tokyo
Tom Clancy's The Division,PS4,Shooter,Ubisoft,Massive Entertainment
Need for Speed: Most Wanted,PS2,Racing,Electronic Arts,EA Canada
Michael Jackson: The Experience,Wii,Misc,Ubisoft,Ubisoft Montpellier
Tom Clancy's Rainbow Six: Siege,PS4,Shooter,Ubisoft,Ubisoft Montreal
